cliente_id,nombre,dni,fecha_nacimiento,email,telefono,ciudad,provincia,codigo_postal,tipo_poliza,estado_poliza,prima_anual,fecha_alta,num_siniestros,canal_contratacion,importe_ultimo_siniestro,scoring_riesgo,observaciones
1,Elena Torres,23757649B,1978-08-11,elena.torres@email.com,+34 626 142 476,Madrid,Madrid,28543,Auto,Cancelada,1485.12,2017-09-02,3,Online,14396.39,37.3,Cliente preferente
2,Raúl Castro,62418906Q,1997-12-22,raul.castro@email.com,+34 650 269 311,Las Palmas,Las Palmas,35780,Salud,Cancelada,867.6,2017-12-11,7,Oficina,14910.48,41.8,N/A
3,Sara Gil,35146282L,1970-04-24,sara.gil@email.com,+34 649 138 468,Madrid,Madrid,28180,Vida,Activa,2837.09,2023-03-09,0,Online,7998.01,30.1,NINGUNA
4,Isabel Jiménez,4229,1956-09-20,isabel.jimenez@email.com,+34 632 210 579,Murcia,Murcia,30145,Hogar,Cancelada,1890.48,2023-02-14,4,Online,5507.84,65.7,Revisar
5,Miguel Ruiz,96487703Y,1998-08-18,miguel.ruiz@email.com,+34 661 146 674,Barcelona,Barcelona,08148,Vida,Pendiente,494.74,2018-05-29,0,Online,8830.33,91.9,-
6,Elena Torres,49785651F,1991-09-06,elena.torres@email.com,+34 678 398 901,Las Palmas,Las Palmas,35548,Auto,Activa,1803.51,2018-12-22,1,Oficina,11675.93,40.1,Reclamación abierta
7,Patricia Blanco,21292148X,1968-05-07,patricia.blanco@email.com,,Bilbao,Vizcaya,48909,Auto,Activa,1601.63,2018-03-12,0,Agente,1399.92,19.2,Reclamación abierta
8,Isabel Jiménez,90074928K,1957-02-10,isabel.jimenez@email.com,+34 659 929 413,Sevilla,Sevilla,41506,Vida,Activa,2595.65,2020-07-21,0,Agente,2589.86,27.1,N/A
9,Isabel Jiménez,41199893Z,1950-05-22,,+34 642 430 627,Murcia,,30979,Salud,Activa,1685.95,2015-12-29,0,Oficina,184.36,85.4,Sin observaciones
10,Carlos Rodríguez,66240283R,,carlos.rodriguez@email.com,+34 691 705 403,Barcelona,Barcelona,08382,Auto,Activa,914.65,2021-08-26,0,Agente,8904.79,57.2,Cliente preferente
11,Miguel Ruiz,41299028Q,1974-09-23,miguel.ruiz@email.com,+34 619 437 649,Las Palmas,Las Palmas,35572,Vida,Activa,2091.8,2021-05-07,2,Teléfono,13301.02,45.5,Reclamación abierta
12,Ana Martínez,39168464T,1991-03-04,@dominio.com,+34 628 263 542,Palma,Baleares,07515,Hogar,Activa,1719.21,2023-06-13,1,Agente,10059.95,15.0,OK
13,Juan López,45966581V,1988-04-01,juan.lopez@email.com,+34 672 688 603,Zaragoza,Zaragoza,50699,Vida,Activa,852.52,2021-06-03,0,Teléfono,14730.6,45.0,N/A
14,Francisco Álvarez,26405566H,1965-07-02,espacios en email@mail.com,+34-622-629-345,Zaragoza,Zaragoza,50220,Vida,Activa,1806.16,2023-05-10,3,Teléfono,945.5,27.8,
15,Pedro Sánchez,19427504G,1966-10-26,pedro.sanchez@email.com,+34 674 987 702,Madrid,Madrid,28102,Responsabilidad Civil,Pendiente,2500.3,2015-08-22,0,Teléfono,13545.02,94.3,
16,Juan López,17022336M,1983-02-26,juan.lopez@email.com,+34 617 790 593,Barcelona,Barcelona,08415,Auto,Activa,280.0,2022-03-07,3,Oficina,12211.02,88.4,null
17,María García,98213938X,1974-01-22,maria.garcia@email.com,+34 690 172 608,Sevilla,Sevilla,41559,Salud,Cancelada,1966.38,2019-09-28,5,Agente,13207.01,8.4,OK
18,Francisco Álvarez,34210749Q,1977-08-23,francisco.alvarez@email.com,+34 615 718 956,Sevilla,Sevilla,41326,Salud,Activa,1178.84,2015-01-27,3,Agente,14602.9,51.7,Cliente preferente
19,Francisco Álvarez,32761900P,1973-03-13,francisco.alvarez@email.com,+34 648 468 895,Valencia,Valencia,46178,Responsabilidad Civil,Cancelada,1019.48,2019-02-03,4,Oficina,9760.95,22.5,Reclamación abierta
20,Marta Vázquez,X8241700Z,,marta.vazquez@email.com,+34 663 648 748,Zaragoza,Zaragoza,50756,Salud,Activa,1299.25,2015-04-03,2,Oficina,13339.57,41.1,Sin observaciones
21,Antonio Moreno,X2216028Z,1961-08-20,antonio.moreno@email.com,664816630,Murcia,Murcia,30853,Vida,Pendiente,1157.66,2022-04-18,2,Agente,13211.23,87.7,Cliente preferente
22,Javier Domínguez,77812526R,1990-12-06,javier.dominguez@email.com,+34 694 869 544,Barcelona,Barcelona,08643,Responsabilidad Civil,Activa,2530.27,2015-11-05,3,Oficina,11364.86,52.8,Pendiente validación
23,Sara Gil,289544345,1954-10-17,sara.gil@email.com,666 666 666,Sevilla,Sevilla,42876,Hogar,Cancelada,969.43,2015-02-21,3,Oficina,10163.02,33.4,Cliente preferente
24,Sara Gil,75954738D,1961-03-12,sara.gil@email.com,+34 669 841 779,Valencia,Valencia,46822,Auto,Activa,2252.83,2015-11-15,1,Teléfono,1800.04,20.8,
